Data was saved using Vista Data Vision
Saved: 02-03-2026 09:59:22

Time Period: 01-01-2023 00:00:00 - 02-03-2026 00:00:00
Summary Time Period: Uur

Time,NL-263591-FB-FLB5029: B09PB01 [-7.1|-8.1][m NAP] (avg),NL-263591-FB-FLB5029: B09PB02 [-2.3|-3.3][m NAP] (avg),NL-263591-FB-FLB5036: B08PB01 [-5.0|-6.0][m NAP] (avg),NL-263591-FB-FLB5036: B08PB02 [-1.4|-2.4][m NAP] (avg),NL-263591-FB-FLB5055: HB02PB01 [-1.5|-2.5][m NAP] (avg),NL-263591-FB-FLB5208: B04PB01 [-2.2|-3.2][m NAP] (avg),NL-263591-FB-FLB5085: B03PB01 [-2.3|-3.3][m NAP] (avg),NL-263591-FB-FLB5093: HB01PB01 [-2.7|-3.7][m NAP] (avg),NL-263591-FB-FLB5095: B07PB01 [-1.2|-2.2][m NAP] (avg),NL-263591-FB-FLB5140#: B10PB01 [-0.3|-1.3][m NAP] (avg),NL-263591-FB-FLB5141: B11PB01 [-4.8|-5.8][m NAP] (avg),NL-263591-FB-FLB5141: B11PB02 [-2.4|-3.4][m NAP] (avg),NL-263591-FB-FLB5153: HB03PB01 [-1.9|-2.9][m NAP] (avg),NL-263591-FB-FLB5163: B07aPB2 [-5.5|-6.5][m NAP] (avg)
---- : ::,,,,,,,,,,,,,,
13-12-2024 09:00:00,,,,,,,,,,,-1.164,-1.268,,
13-12-2024 10:00:00,-0.6705,1.9995,,,,,,,,1.138,-1.238,-1.299,-0.176,
13-12-2024 11:00:00,-0.705,1.897,-1.5995,-0.0935,,,,,,1.137,-1.29,-1.351,-0.191,
13-12-2024 12:00:00,-0.724,1.893,-1.6,-0.081,0.958,,,,1.6455,1.135,-1.323,-1.381,-0.1935,
13-12-2024 13:00:00,-0.738,1.895,-1.599,-0.06,0.893,,,-1.612,1.626,1.134,-1.343,-1.399,-0.1955,
13-12-2024 14:00:00,-0.749,1.898,-1.598,-0.109,0.891,-1.122,-0.8585,-1.641,1.628,1.133,-1.355,-1.41,-0.197,
13-12-2024 15:00:00,-0.76,1.9,-1.598,-0.112,0.893,-1.158,-0.866,-1.641,1.629,1.133,-1.364,-1.416,-0.201,
13-12-2024 16:00:00,-0.768,1.896,-1.598,-0.118,0.893,-1.167,-0.867,-1.641,1.63,1.133,-1.372,-1.422,-0.2035,
13-12-2024 17:00:00,-0.774,1.899,-1.601,-0.118,0.889,-1.15,-0.869,-1.642,1.63,1.133,-1.377,-1.424,-0.2045,
13-12-2024 18:00:00,-0.78,1.899,-1.6,-0.118,0.888,-1.17,-0.869,-1.641,1.632,1.131,-1.381,-1.426,-0.21,
13-12-2024 19:00:00,-0.786,1.902,-1.6,-0.117,0.888,-1.174,-0.869,-1.641,1.634,1.13,-1.385,-1.427,-0.213,
13-12-2024 20:00:00,-0.789,1.904,-1.596,-0.117,0.887,-1.171,-0.869,-1.64,1.636,1.13,-1.388,-1.427,-0.2165,
13-12-2024 21:00:00,-0.793,1.904,-1.598,-0.116,0.887,-1.163,-0.869,-1.64,1.637,1.128,-1.392,-1.427,-0.2205,
13-12-2024 22:00:00,-0.795,1.908,-1.598,-0.113,0.891,-1.147,-0.869,-1.639,1.639,1.128,-1.391,-1.427,-0.221,
13-12-2024 23:00:00,-0.798,1.909,-1.597,-0.111,0.893,-1.166,-0.869,-1.638,1.641,1.13,-1.393,-1.428,-0.2235,
