timestamp,head,Precipitation,Evapotranspiration,recharge,head_t1,outliers_boxplot,jumps_drops
2023-11-09 11:00:00,-1.534,0.0,0.24,-0.24,,,
2023-11-09 12:00:00,-1.729,0.0,0.15,-0.15,-0.195,,-1.729
2023-11-09 13:00:00,-1.739,0.3,0.09,0.21,-0.01,,
2023-11-09 14:00:00,-1.741,0.4,0.03,0.37,-0.002,,
2023-11-09 15:00:00,-1.739,4.5,0.0,4.5,0.002,,
2023-11-09 16:00:00,-1.737,0.8,0.0,0.8,0.002,,
2023-11-09 17:00:00,-1.734,0.2,0.0,0.2,0.0030000000000001,,
2023-11-09 18:00:00,-1.731,0.0,0.0,0.0,0.0029999999999998,,
2023-11-09 19:00:00,-1.732,0.0,0.0,0.0,-0.0009999999999998,,
2023-11-09 20:00:00,-1.728,0.005,0.0,0.005,0.004,,
2023-11-09 21:00:00,-1.725,0.0,0.0,0.0,0.0029999999999998,,
2023-11-09 22:00:00,-1.724,0.005,0.0,0.005,0.0010000000000001,,
2023-11-09 23:00:00,-1.722,0.0,0.0,0.0,0.002,,
2023-11-10 00:00:00,-1.723,0.0,0.0,0.0,-0.0010000000000001,,
2023-11-10 01:00:00,-1.721,0.005,0.0,0.005,0.002,,
2023-11-10 02:00:00,-1.719,0.3,0.0,0.3,0.002,,
2023-11-10 03:00:00,-1.718,1.9,0.0,1.9,0.0010000000000001,,
2023-11-10 04:00:00,-1.718,2.1,0.0,2.1,0.0,,
2023-11-10 05:00:00,-1.718,0.2,0.0,0.2,0.0,,
2023-11-10 06:00:00,-1.718,0.8,0.01,0.79,0.0,,
2023-11-10 07:00:00,-1.718,2.4,0.02,2.38,0.0,,
2023-11-10 08:00:00,-1.717,0.3,0.09,0.21,0.0009999999999998,,
2023-11-10 09:00:00,-1.718,0.9,0.09,0.81,-0.0009999999999998,,
2023-11-10 10:00:00,-1.718,1.3,0.09,1.21,0.0,,
2023-11-10 11:00:00,-1.718,3.0,0.06,2.94,0.0,,
2023-11-10 12:00:00,-1.718,2.0,0.18,1.82,0.0,,
2023-11-10 13:00:00,-1.716,0.005,0.33,-0.325,0.002,,
2023-11-10 14:00:00,-1.714,1.0,0.15,0.85,0.002,,
2023-11-10 15:00:00,-1.711,0.005,0.05,-0.045,0.0029999999999998,,
2023-11-10 16:00:00,-1.711,0.4,0.0,0.4,0.0,,
2023-11-10 17:00:00,-1.712,0.3,0.0,0.3,-0.0009999999999998,,
2023-11-10 18:00:00,-1.713,0.1,0.0,0.1,-0.0010000000000001,,
