filename,source_origin_stem,x,y,hmax_pb,hmin_pb
NL-2412417-HWM_B09-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B09-PB2_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B12-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B13-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B13-PB2_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B14-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B14-PB2_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B15-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B15-PB2_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B16-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B16-PB2_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B17-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B18-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B26-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_B26-PB2_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB20-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB21-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB22-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB23-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB25-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB27-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB28-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB29-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
NL-2412417-HWM_HB30-PB1_m_NAP.csv,4423-241417_PB_HOORN_01-01-2023 00_00_00_02-03-2026 00_00_00_20260302095744,,,,
