Timestamp,Grondwaterstand (m NAP)
2023-02-01 11:00:00,-3.0380
2023-02-01 12:00:00,-3.0396
2023-02-01 13:00:00,-3.0402
2023-02-01 14:00:00,-3.0406
2023-02-01 15:00:00,-3.0390
2023-02-01 16:00:00,-3.0394
2023-02-01 17:00:00,-3.0374
2023-02-01 18:00:00,-3.0328
2023-02-01 19:00:00,-3.0277
2023-02-01 20:00:00,-3.0252
2023-02-01 21:00:00,-3.0234
2023-02-01 22:00:00,-3.0206
2023-02-01 23:00:00,-3.0213
2023-02-02 00:00:00,-3.0204
2023-02-02 01:00:00,-3.0204
2023-02-02 02:00:00,-3.0215
2023-02-02 03:00:00,-3.0230
2023-02-02 04:00:00,-3.0215
2023-02-02 05:00:00,-3.0182
2023-02-02 06:00:00,-3.0190
2023-02-02 07:00:00,-3.0195
2023-02-02 08:00:00,-3.0186
2023-02-02 09:00:00,-3.0172
2023-02-02 10:00:00,-3.0166
2023-02-02 11:00:00,-3.0165
2023-02-02 12:00:00,-3.0150
2023-02-02 13:00:00,-3.0154
2023-02-02 14:00:00,-3.0157
2023-02-02 15:00:00,-3.0156
2023-02-02 16:00:00,-3.0155
2023-02-02 17:00:00,-3.0158
2023-02-02 18:00:00,-3.0165
2023-02-02 19:00:00,-3.0164
2023-02-02 20:00:00,-3.0171
2023-02-02 21:00:00,-3.0196
2023-02-02 22:00:00,-3.0193
2023-02-02 23:00:00,-3.0206
2023-02-03 00:00:00,-3.0216
2023-02-03 01:00:00,-3.0226
2023-02-03 02:00:00,-3.0217
2023-02-03 03:00:00,-3.0246
2023-02-03 04:00:00,-3.0240
2023-02-03 05:00:00,-3.0249
2023-02-03 06:00:00,-3.0263
2023-02-03 07:00:00,-3.0270
2023-02-03 08:00:00,-3.0285
2023-02-03 09:00:00,-3.0293
2023-02-03 10:00:00,-3.0264
2023-02-03 11:00:00,-3.0274
2023-02-03 12:00:00,-3.0270
2023-02-03 13:00:00,-3.0255
2023-02-03 14:00:00,-3.0245
2023-02-03 15:00:00,-3.0247
2023-02-03 16:00:00,-3.0269
2023-02-03 17:00:00,-3.0267
2023-02-03 18:00:00,-3.0275
2023-02-03 19:00:00,-3.0276
2023-02-03 20:00:00,-3.0273
2023-02-03 21:00:00,-3.0303
2023-02-03 22:00:00,-3.0307
2023-02-03 23:00:00,-3.0310
2023-02-04 00:00:00,-3.0311
2023-02-04 01:00:00,-3.0332
2023-02-04 02:00:00,-3.0332
2023-02-04 03:00:00,-3.0333
2023-02-04 04:00:00,-3.0339
2023-02-04 05:00:00,-3.0355
2023-02-04 06:00:00,-3.0344
2023-02-04 07:00:00,-3.0362
2023-02-04 08:00:00,-3.0363
2023-02-04 09:00:00,-3.0364
2023-02-04 10:00:00,-3.0363
2023-02-04 11:00:00,-3.0382
2023-02-04 12:00:00,-3.0384
