Timestamp,Grondwaterstand (m NAP)
2023-02-01 13:00:00,-3.5515
2023-02-01 14:00:00,-3.5523
2023-02-01 15:00:00,-3.5517
2023-02-01 16:00:00,-3.5508
2023-02-01 17:00:00,-3.5489
2023-02-01 18:00:00,-3.5431
2023-02-01 19:00:00,-3.5373
2023-02-01 20:00:00,-3.5315
2023-02-01 21:00:00,-3.5298
2023-02-01 22:00:00,-3.5250
2023-02-01 23:00:00,-3.5253
2023-02-02 00:00:00,-3.5222
2023-02-02 01:00:00,-3.5209
2023-02-02 02:00:00,-3.5205
2023-02-02 03:00:00,-3.5215
2023-02-02 04:00:00,-3.5203
2023-02-02 05:00:00,-3.5167
2023-02-02 06:00:00,-3.5174
2023-02-02 07:00:00,-3.5165
2023-02-02 08:00:00,-3.5136
2023-02-02 09:00:00,-3.5122
2023-02-02 10:00:00,-3.5118
2023-02-02 11:00:00,-3.5105
2023-02-02 12:00:00,-3.5081
2023-02-02 13:00:00,-3.5084
2023-02-02 14:00:00,-3.5085
2023-02-02 15:00:00,-3.5085
2023-02-02 16:00:00,-3.5082
2023-02-02 17:00:00,-3.5086
2023-02-02 18:00:00,-3.5092
2023-02-02 19:00:00,-3.5084
2023-02-02 20:00:00,-3.5088
2023-02-02 21:00:00,-3.5113
2023-02-02 22:00:00,-3.5098
2023-02-02 23:00:00,-3.5100
2023-02-03 00:00:00,-3.5094
2023-02-03 01:00:00,-3.5098
2023-02-03 02:00:00,-3.5081
2023-02-03 03:00:00,-3.5087
2023-02-03 04:00:00,-3.5073
2023-02-03 05:00:00,-3.5103
2023-02-03 06:00:00,-3.5116
2023-02-03 07:00:00,-3.5130
2023-02-03 08:00:00,-3.5138
2023-02-03 09:00:00,-3.5149
2023-02-03 10:00:00,-3.5108
2023-02-03 11:00:00,-3.5116
2023-02-03 12:00:00,-3.5100
2023-02-03 13:00:00,-3.5083
2023-02-03 14:00:00,-3.5064
2023-02-03 15:00:00,-3.5056
2023-02-03 16:00:00,-3.5075
2023-02-03 17:00:00,-3.5082
2023-02-03 18:00:00,-3.5091
2023-02-03 19:00:00,-3.5094
2023-02-03 20:00:00,-3.5100
2023-02-03 21:00:00,-3.5128
2023-02-03 22:00:00,-3.5123
2023-02-03 23:00:00,-3.5126
2023-02-04 00:00:00,-3.5131
2023-02-04 01:00:00,-3.5150
2023-02-04 02:00:00,-3.5143
2023-02-04 03:00:00,-3.5141
2023-02-04 04:00:00,-3.5148
2023-02-04 05:00:00,-3.5152
2023-02-04 06:00:00,-3.5146
2023-02-04 07:00:00,-3.5158
2023-02-04 08:00:00,-3.5163
2023-02-04 09:00:00,-3.5159
2023-02-04 10:00:00,-3.5150
2023-02-04 11:00:00,-3.5154
2023-02-04 12:00:00,-3.5152
2023-02-04 13:00:00,-3.5189
2023-02-04 14:00:00,-3.5185
2023-02-04 15:00:00,-3.5199
2023-02-04 16:00:00,-3.5197
2023-02-04 17:00:00,-3.5193
2023-02-04 18:00:00,-3.5205
