Time,Waterniveau (m NAP)
2025-09-07 15:00:00.626,-4.263
2025-09-07 16:00:01.534,-4.262
2025-09-07 17:00:01.534,-4.263
2025-09-07 18:00:01.534,-4.267
2025-09-07 19:00:01.534,-4.266
2025-09-07 20:00:01.534,-4.267
2025-09-07 21:00:01.534,-4.269
2025-09-07 22:00:00.644,-4.265
2025-09-07 23:00:00.644,-4.266
2025-09-08 00:00:00.644,-4.269
2025-09-08 01:00:00.644,-4.273
2025-09-08 02:00:00.644,-4.272
2025-09-08 03:00:00.644,-4.274
2025-09-08 03:59:59.459,-4.269
2025-09-08 04:59:59.459,-4.269
2025-09-08 05:59:59.459,-4.273
2025-09-08 06:59:59.459,-4.274
2025-09-08 07:59:59.459,-4.273
2025-09-08 08:59:59.459,-4.268
2025-09-08 10:00:00.626,-4.272
2025-09-08 11:00:00.626,-4.273
2025-09-08 12:00:00.626,-4.276
2025-09-08 13:00:00.626,-4.275
2025-09-08 14:00:00.626,-4.272
2025-09-08 15:00:00.626,-4.273
2025-09-08 16:00:00.548,-4.268
2025-09-08 17:00:00.548,-4.272
2025-09-08 18:00:00.548,-4.277
2025-09-08 19:00:00.548,-4.271
2025-09-08 20:00:00.548,-4.276
2025-09-08 21:00:00.548,-4.278
2025-09-08 22:00:00.639,-4.277
2025-09-08 23:00:00.639,-4.274
2025-09-09 00:00:00.639,-4.275
2025-09-09 01:00:00.639,-4.272
2025-09-09 02:00:00.639,-4.274
2025-09-09 03:00:00.639,-4.275
2025-09-09 04:00:00.787,-4.272
2025-09-09 05:00:00.787,-4.275
2025-09-09 06:00:00.787,-4.266
2025-09-09 07:00:00.787,-4.27
2025-09-09 08:00:00.787,-4.268
2025-09-09 09:00:00.787,-4.269
2025-09-09 10:00:00.626,-4.271
2025-09-09 11:00:00.626,-4.272
2025-09-09 12:00:00.626,-4.279
2025-09-09 13:00:00.626,-4.274
2025-09-09 14:00:00.626,-4.269
2025-09-09 15:00:00.626,-4.271
2025-09-09 16:00:01.513,-4.272
2025-09-09 17:00:01.513,-4.271
2025-09-09 18:00:01.513,-4.266
2025-09-09 19:00:01.513,-4.268
2025-09-09 20:00:01.513,-4.269
2025-09-09 21:00:01.513,-4.268
2025-09-09 22:00:00.644,-4.262
2025-09-09 23:00:00.644,-4.266
2025-09-10 00:00:00.644,-4.27
2025-09-10 01:00:00.644,-4.264
2025-09-10 02:00:00.644,-4.261
2025-09-10 03:00:00.644,-4.264
2025-09-10 04:00:00.508,-4.259
2025-09-10 05:00:00.508,-4.26
2025-09-10 06:00:00.508,-4.256
2025-09-10 07:00:00.508,-4.255
2025-09-10 08:00:00.508,-4.256
2025-09-10 09:00:00.508,-4.256
2025-09-10 10:00:00.626,-4.253
2025-09-10 11:00:00.626,-4.259
2025-09-10 12:00:00.626,-4.255
2025-09-10 13:00:00.626,-4.252
2025-09-10 14:00:00.626,-4.254
2025-09-10 15:00:00.626,-4.257
2025-09-10 16:00:01.911,-4.252
2025-09-10 17:00:01.911,-4.254
2025-09-10 18:00:01.911,-4.254
2025-09-10 19:00:01.911,-4.248
2025-09-10 20:00:01.911,-4.253
2025-09-10 21:00:01.911,-4.254
2025-09-10 22:00:00.639,-4.249
2025-09-10 23:00:00.639,-4.256
2025-09-11 00:00:00.639,-4.253
2025-09-11 01:00:00.639,-4.25
2025-09-11 02:00:00.639,-4.256
2025-09-11 03:00:00.639,-4.25
2025-09-11 04:00:00.324,-4.25
2025-09-11 05:00:00.324,-4.247
2025-09-11 06:00:00.324,-4.253
2025-09-11 07:00:00.324,-4.253
2025-09-11 08:00:00.324,-4.256
2025-09-11 09:00:00.324,-4.256
2025-09-11 16:00:00.983,-4.256
2025-09-11 17:00:00.983,-4.257
2025-09-11 18:00:00.983,-4.26
2025-09-11 19:00:00.983,-4.259
2025-09-11 20:00:00.983,-4.255
2025-09-11 21:00:00.983,-4.262
2025-09-11 22:00:00.627,-4.259
2025-09-11 23:00:00.627,-4.263
2025-09-12 00:00:00.627,-4.26
2025-09-12 01:00:00.627,-4.254
2025-09-12 02:00:00.627,-4.256
2025-09-12 03:00:00.627,-4.252
2025-09-12 04:00:00.518,-4.252
2025-09-12 05:00:00.518,-4.246
2025-09-12 06:00:00.518,-4.259
2025-09-12 07:00:00.518,-4.255
2025-09-12 08:00:00.518,-4.258
2025-09-12 09:00:00.518,-4.257
2025-09-12 10:00:00.626,-4.253
2025-09-12 11:00:00.626,-4.253
2025-09-12 12:00:00.626,-4.253
2025-09-12 13:00:00.626,-4.255
2025-09-12 14:00:00.626,-4.256
2025-09-12 15:00:00.626,-4.255
2025-09-12 15:59:59.544,-4.254
2025-09-12 16:59:59.544,-4.254
2025-09-12 17:59:59.544,-4.252
2025-09-12 18:59:59.544,-4.257
2025-09-12 19:59:59.544,-4.255
2025-09-12 20:59:59.544,-4.258
2025-09-12 22:00:00.644,-4.256
2025-09-12 23:00:00.644,-4.257
2025-09-13 00:00:00.644,-4.256
2025-09-13 01:00:00.644,-4.258
2025-09-13 02:00:00.644,-4.256
2025-09-13 03:00:00.644,-4.253
2025-09-13 04:00:00.809,-4.25
2025-09-13 05:00:00.809,-4.252
2025-09-13 06:00:00.809,-4.253
2025-09-13 07:00:00.809,-4.252
2025-09-13 08:00:00.809,-4.25
2025-09-13 09:00:00.809,-4.258
2025-09-13 10:00:00.626,-4.254
2025-09-13 11:00:00.626,-4.256
2025-09-13 12:00:00.626,-4.259
2025-09-13 13:00:00.626,-4.255
2025-09-13 14:00:00.626,-4.255
2025-09-13 15:00:00.626,-4.258
2025-09-13 16:00:00.450,-4.251
2025-09-13 17:00:00.450,-4.251
2025-09-13 18:00:00.450,-4.252
2025-09-13 19:00:00.450,-4.254
2025-09-13 20:00:00.450,-4.251
2025-09-13 21:00:00.450,-4.255
2025-09-13 22:00:00.639,-4.253
2025-09-13 23:00:00.639,-4.25
2025-09-14 00:00:00.639,-4.255
2025-09-14 01:00:00.639,-4.257
2025-09-14 02:00:00.639,-4.261
2025-09-14 03:00:00.639,-4.251
2025-09-14 04:00:00.737,-4.252
2025-09-14 05:00:00.737,-4.247
2025-09-14 06:00:00.737,-4.241
2025-09-14 07:00:00.737,-4.238
2025-09-14 08:00:00.737,-4.237
2025-09-14 09:00:00.737,-4.24
2025-09-14 10:00:00.626,-4.242
2025-09-14 11:00:00.626,-4.237
2025-09-14 12:00:00.626,-4.238
2025-09-14 13:00:00.626,-4.235
2025-09-14 14:00:00.626,-4.235
2025-09-14 15:00:00.626,-4.225
2025-09-14 16:00:00.492,-4.229
2025-09-14 17:00:00.492,-4.227
2025-09-14 18:00:00.492,-4.231
2025-09-14 19:00:00.492,-4.231
2025-09-14 20:00:00.492,-4.223
2025-09-14 21:00:00.492,-4.218
2025-09-14 22:00:00.627,-4.218
2025-09-14 23:00:00.627,-4.214
2025-09-15 00:00:00.627,-4.21
2025-09-15 01:00:00.627,-4.21
2025-09-15 02:00:00.627,-4.211
2025-09-15 03:00:00.627,-4.211
2025-09-15 04:00:00.538,-4.212
2025-09-15 05:00:00.538,-4.212
2025-09-15 06:00:00.538,-4.214
2025-09-15 07:00:00.538,-4.208
2025-09-15 08:00:00.538,-4.212
2025-09-15 09:00:00.538,-4.216
2025-09-15 10:00:00.626,-4.217
2025-09-15 11:00:00.626,-4.214
2025-09-15 12:00:00.626,-4.216
2025-09-15 13:00:00.626,-4.215
2025-09-15 14:00:00.626,-4.212
2025-09-15 15:00:00.626,-4.215
2025-09-15 16:00:00.712,-4.212
2025-09-15 17:00:00.712,-4.215
2025-09-15 18:00:00.712,-4.212
2025-09-15 19:00:00.712,-4.209
2025-09-15 20:00:00.712,-4.209
2025-09-15 21:00:00.712,-4.205
2025-09-15 22:00:00.639,-4.21
2025-09-15 23:00:00.639,-4.206
2025-09-16 00:00:00.639,-4.206
2025-09-16 01:00:00.639,-4.207
2025-09-16 02:00:00.639,-4.205
2025-09-16 03:00:00.639,-4.209
2025-09-16 04:00:00.285,-4.206
2025-09-16 05:00:00.285,-4.205
2025-09-16 06:00:00.285,-4.209
2025-09-16 07:00:00.285,-4.208
2025-09-16 08:00:00.285,-4.206
2025-09-16 09:00:00.285,-4.21
2025-09-16 10:00:00.626,-4.211
2025-09-16 11:00:00.626,-4.208
2025-09-16 12:00:00.626,-4.207
2025-09-16 13:00:00.626,-4.207
2025-09-16 14:00:00.626,-4.209
2025-09-16 15:00:00.626,-4.214
2025-09-16 15:59:59.768,-4.205
2025-09-16 16:59:59.768,-4.202
2025-09-16 17:59:59.768,-4.203
2025-09-16 18:59:59.768,-4.202
2025-09-16 19:59:59.768,-4.198
2025-09-16 20:59:59.768,-4.196
2025-09-16 22:00:00.644,-4.195
2025-09-16 23:00:00.644,-4.196
2025-09-17 00:00:00.644,-4.192
2025-09-17 01:00:00.644,-4.196
2025-09-17 02:00:00.644,-4.196
2025-09-17 03:00:00.644,-4.19
2025-09-17 04:00:00.990,-4.186
2025-09-17 05:00:00.990,-4.19
2025-09-17 06:00:00.990,-4.186
2025-09-17 07:00:00.990,-4.182
2025-09-17 08:00:00.990,-4.182
2025-09-17 09:00:00.990,-4.189
2025-09-17 10:00:00.626,-4.186
2025-09-17 11:00:00.626,-4.19
2025-09-17 12:00:00.626,-4.192
2025-09-17 13:00:00.626,-4.182
2025-09-17 14:00:00.626,-4.185
2025-09-17 15:00:00.626,-4.183
2025-09-17 16:00:01.327,-4.181
2025-09-17 17:00:01.327,-4.18
2025-09-17 18:00:01.327,-4.178
2025-09-17 19:00:01.327,-4.178
2025-09-17 20:00:01.327,-4.176
2025-09-17 21:00:01.327,-4.175
2025-09-17 22:00:00.646,-4.17
2025-09-17 23:00:00.646,-4.171
2025-09-18 00:00:00.646,-4.166
2025-09-18 01:00:00.646,-4.169
2025-09-18 02:00:00.646,-4.166
2025-09-18 03:00:00.646,-4.163
2025-09-18 04:00:00.435,-4.162
2025-09-18 05:00:00.435,-4.16
2025-09-18 06:00:00.435,-4.158
2025-09-18 07:00:00.435,-4.157
2025-09-18 08:00:00.435,-4.152
2025-09-18 09:00:00.435,-4.165
2025-09-18 10:00:00.626,-4.159
2025-09-18 11:00:00.626,-4.161
2025-09-18 12:00:00.626,-4.16
2025-09-18 13:00:00.626,-4.157
2025-09-18 14:00:00.626,-4.157
2025-09-18 15:00:00.626,-4.156
2025-09-18 16:00:00.807,-4.155
2025-09-18 17:00:00.807,-4.154
2025-09-18 18:00:00.807,-4.153
2025-09-18 19:00:00.807,-4.149
2025-09-18 20:00:00.807,-4.151
2025-09-18 21:00:00.807,-4.153
2025-09-18 22:00:00.637,-4.149
2025-09-18 23:00:00.637,-4.145
2025-09-19 00:00:00.637,-4.146
2025-09-19 01:00:00.637,-4.143
2025-09-19 02:00:00.637,-4.147
2025-09-19 03:00:00.637,-4.147
2025-09-19 04:00:01.313,-4.144
2025-09-19 05:00:01.313,-4.142
2025-09-19 06:00:01.313,-4.135
2025-09-19 07:00:01.313,-4.133
2025-09-19 08:00:01.313,-4.132
2025-09-19 09:00:01.313,-4.138
2025-09-19 10:00:00.626,-4.138
2025-09-19 11:00:00.626,-4.134
2025-09-19 12:00:00.626,-4.134
2025-09-19 13:00:00.626,-4.133
2025-09-19 14:00:00.626,-4.115
2025-09-19 15:00:00.626,-4.11
2025-09-19 16:00:00.376,-4.118
2025-09-19 17:00:00.376,-4.116
2025-09-19 18:00:00.376,-4.114
2025-09-19 19:00:00.376,-4.11
2025-09-19 20:00:00.376,-4.103
2025-09-19 21:00:00.376,-4.106
2025-09-19 22:00:00.627,-4.118
2025-09-19 23:00:00.627,-4.113
2025-09-20 00:00:00.627,-4.11
2025-09-20 01:00:00.627,-4.107
2025-09-20 02:00:00.627,-4.106
2025-09-20 03:00:00.627,-4.093
2025-09-20 04:00:00.936,-4.104
2025-09-20 05:00:00.936,-4.094
2025-09-20 06:00:00.936,-4.087
2025-09-20 07:00:00.936,-4.097
2025-09-20 08:00:00.936,-4.088
2025-09-20 09:00:00.936,-4.082
2025-09-20 10:00:00.626,-4.082
2025-09-20 11:00:00.626,-4.079
2025-09-20 12:00:00.626,-4.076
2025-09-20 13:00:00.626,-4.079
2025-09-20 14:00:00.626,-4.069
2025-09-20 15:00:00.626,-4.072
2025-09-20 16:00:00.542,-4.07
2025-09-20 17:00:00.542,-4.068
2025-09-20 18:00:00.542,-4.069
2025-09-20 19:00:00.542,-4.067
2025-09-20 20:00:00.542,-4.063
2025-09-20 21:00:00.542,-4.063
2025-09-20 22:00:00.628,-4.06
2025-09-20 23:00:00.628,-4.063
2025-09-21 00:00:00.628,-4.064
2025-09-21 01:00:00.628,-4.064
2025-09-21 02:00:00.628,-4.059
2025-09-21 03:00:00.628,-4.061
2025-09-21 04:00:01.483,-4.062
2025-09-21 05:00:01.483,-4.058
2025-09-21 06:00:01.483,-4.059
2025-09-21 07:00:01.483,-4.062
2025-09-21 08:00:01.483,-4.066
