Time,Waterniveau (m NAP)
2025-09-07 14:59:59,-4.726
2025-09-07 15:59:59,-4.722
2025-09-07 16:59:59,-4.721
2025-09-07 17:59:59,-4.721
2025-09-07 18:59:59,-4.724
2025-09-07 19:59:59,-4.722
2025-09-07 20:59:59,-4.723
2025-09-07 21:59:59,-4.727
2025-09-07 22:59:59,-4.725
2025-09-07 23:59:59,-4.73
2025-09-08 00:59:59,-4.729
2025-09-08 01:59:59,-4.732
2025-09-08 02:59:59,-4.736
2025-09-08 03:59:59,-4.732
2025-09-08 04:59:59,-4.736
2025-09-08 05:59:59,-4.737
2025-09-08 06:59:59,-4.736
2025-09-08 07:59:59,-4.74
2025-09-08 08:59:59,-4.731
2025-09-08 09:59:59,-4.745
2025-09-08 10:59:59,-4.742
2025-09-08 11:59:59,-4.74
2025-09-08 12:59:58,-4.739
2025-09-08 13:59:59,-4.738
2025-09-08 14:59:59,-4.739
2025-09-08 15:59:59,-4.733
2025-09-08 16:59:59,-4.738
2025-09-08 17:59:59,-4.736
2025-09-08 18:59:59,-4.734
2025-09-08 19:59:59,-4.741
2025-09-08 20:59:59,-4.737
2025-09-08 21:59:59,-4.739
2025-09-08 22:59:59,-4.738
2025-09-08 23:59:59,-4.738
2025-09-09 00:59:59,-4.739
2025-09-09 01:59:59,-4.734
2025-09-09 02:59:59,-4.742
2025-09-09 03:59:59,-4.741
2025-09-09 04:59:59,-4.739
2025-09-09 05:59:59,-4.735
2025-09-09 06:59:59,-4.741
2025-09-09 07:59:59,-4.739
2025-09-09 08:59:59,-4.742
2025-09-09 09:59:59,-4.744
2025-09-09 10:59:59,-4.74
2025-09-09 11:59:59,-4.744
2025-09-09 12:59:59,-4.738
2025-09-09 13:59:59,-4.734
2025-09-09 14:59:59,-4.739
2025-09-09 15:59:59,-4.741
2025-09-09 16:59:59,-4.737
2025-09-09 17:59:59,-4.74
2025-09-09 18:59:59,-4.739
2025-09-09 19:59:59,-4.737
2025-09-09 20:59:59,-4.736
2025-09-09 21:59:59,-4.737
2025-09-09 22:59:59,-4.737
2025-09-09 23:59:59,-4.742
2025-09-10 00:59:59,-4.738
2025-09-10 01:59:59,-4.734
2025-09-10 02:59:59,-4.734
2025-09-10 03:59:59,-4.735
2025-09-10 04:59:59,-4.731
2025-09-10 05:59:59,-4.735
2025-09-10 06:59:59,-4.723
2025-09-10 07:59:59,-4.731
2025-09-10 08:59:59,-4.727
2025-09-10 09:59:59,-4.73
2025-09-10 10:59:59,-4.731
2025-09-10 11:59:59,-4.73
2025-09-10 13:00:00,-4.724
2025-09-10 13:59:59,-4.727
2025-09-10 14:59:59,-4.721
2025-09-10 15:59:59,-4.725
2025-09-10 16:59:59,-4.725
2025-09-10 17:59:59,-4.725
2025-09-10 18:59:59,-4.722
2025-09-10 19:59:59,-4.726
2025-09-10 20:59:59,-4.727
2025-09-10 21:59:59,-4.729
2025-09-10 22:59:59,-4.731
2025-09-10 23:59:59,-4.723
2025-09-11 00:59:59,-4.732
2025-09-11 01:59:59,-4.732
2025-09-11 02:59:59,-4.731
2025-09-11 03:59:59,-4.731
2025-09-11 04:59:59,-4.729
2025-09-11 05:59:59,-4.732
2025-09-11 06:59:59,-4.733
2025-09-11 07:59:59,-4.736
2025-09-11 08:59:59,-4.737
2025-09-11 09:59:59,-4.736
2025-09-11 10:59:59,-4.736
2025-09-11 11:59:59,-4.737
2025-09-11 12:59:59,-4.735
2025-09-11 13:59:59,-4.736
2025-09-11 14:59:59,-4.737
2025-09-11 15:59:59,-4.738
2025-09-11 16:59:59,-4.737
2025-09-11 17:59:59,-4.738
2025-09-11 18:59:59,-4.737
2025-09-11 19:59:59,-4.735
2025-09-11 20:59:59,-4.738
2025-09-11 21:59:59,-4.74
2025-09-11 22:59:59,-4.739
2025-09-11 23:59:59,-4.744
2025-09-12 00:59:59,-4.743
2025-09-12 01:59:59,-4.743
2025-09-12 02:59:59,-4.742
2025-09-12 03:59:59,-4.743
2025-09-12 04:59:59,-4.742
2025-09-12 05:59:59,-4.741
2025-09-12 06:59:59,-4.739
2025-09-12 07:59:59,-4.747
2025-09-12 08:59:59,-4.742
2025-09-12 09:59:59,-4.75
2025-09-12 10:59:59,-4.747
2025-09-12 11:59:59,-4.745
2025-09-12 12:59:59,-4.744
2025-09-12 13:59:59,-4.75
2025-09-12 14:59:59,-4.75
2025-09-12 15:59:59,-4.746
2025-09-12 16:59:59,-4.745
2025-09-12 17:59:59,-4.74
2025-09-12 18:59:59,-4.748
2025-09-12 19:59:59,-4.748
2025-09-12 20:59:59,-4.747
2025-09-12 21:59:59,-4.747
2025-09-12 22:59:59,-4.747
2025-09-12 23:59:59,-4.748
2025-09-13 00:59:59,-4.745
2025-09-13 01:59:59,-4.744
2025-09-13 02:59:59,-4.745
2025-09-13 03:59:59,-4.745
2025-09-13 04:59:59,-4.745
2025-09-13 05:59:59,-4.746
2025-09-13 06:59:59,-4.743
2025-09-13 07:59:59,-4.749
2025-09-13 08:59:59,-4.742
2025-09-13 09:59:59,-4.746
2025-09-13 10:59:59,-4.743
2025-09-13 11:59:59,-4.748
2025-09-13 13:00:00,-4.746
2025-09-13 13:59:59,-4.744
2025-09-13 14:59:59,-4.745
2025-09-13 15:59:59,-4.749
2025-09-13 16:59:59,-4.744
2025-09-13 17:59:59,-4.744
2025-09-13 18:59:59,-4.746
2025-09-13 19:59:59,-4.747
2025-09-13 20:59:59,-4.748
2025-09-13 21:59:59,-4.746
